date,node_id,lv1_in_if_id,lv1_eg_if_id,hop_latency,queue_id,queue_occupancy,ingress_timestamp,egress_timestamp,lv2_in_if_id,lv2_eg_if_id,eg_if_tx_util,buffer_id,buffer_occupancy,l4_port,l4_proto
08/07/2021 12:31:30,2,N/A,N/A,645,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,4,N/A,N/A,658642,0,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,1,N/A,N/A,5021,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,2,N/A,N/A,1036,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,4,N/A,N/A,417,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,1,N/A,N/A,9397,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,2,N/A,N/A,1353,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,4,N/A,N/A,338,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,1,N/A,N/A,9977,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,2,N/A,N/A,1906,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,4,N/A,N/A,430,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,1,N/A,N/A,9381,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,2,N/A,N/A,2375,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,4,N/A,N/A,412,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,1,N/A,N/A,9638,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,2,N/A,N/A,2847,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,4,N/A,N/A,432,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,1,N/A,N/A,8237,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,2,N/A,N/A,2878,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:30,4,N/A,N/A,415,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:31,1,N/A,N/A,1240,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:31,2,N/A,N/A,389,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
08/07/2021 12:31:31,4,N/A,N/A,447,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55555,UDP
